title,price,link
"HP 15, 13th Gen Intel Core i5-1334U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Iris Xe Graphics, FHD Camera, Backlit KB, fd0316TU/fd0315TU","56,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3OTY0NDA3ODQ1ODA4MTI1OjE3NDIwNDA1OTA6c3BfYXRmOjMwMDQ2ODY3OTg0NTYzMjo6MDo6&url=%2FHP-i5-1334U-Anti-glare-15-6-inch-Graphics%2Fdp%2FB0D4LWYWF9%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1LXIWQ6256UP3%26dib%3DeyJ2IjoiMSJ9.6JUkmQ71bkmS_aR-UpbecgNTPuXiMA430hxIR8fYeqaCRqlLIP1aBE8IAXr2Ffz0Wz0-V1vTaoGbqt2bItF6j9cFxYQqA7Zw-5n3dzJ2mGVcrQ7-T1_dfzcDSI_tpfu0n1r2c6v8PTelDCJ2KGnnKx-yLkm73kzYGLT66jdWLyzviBRkocABaSvLAMsgTCkrEJyqb4ZMVsaGTEJh-ih42zzXm-ZpRTg7B-uT5JEPq9U.ZmqidXvuOCg7dfAabtv-0tdOPEN9opYYY-gBHoBnaic%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1742040590%26sprefix%3Dlaptop%252Caps%252C265%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 512 GB
                    SSD(Win 11, Office 21, Silver, 1.69kg), Anti-Glare,
                    15.6inch(39.6Cm), FHD Laptop, Intel UHD Graphics, Dual
                    Speakers, HD Camera, fy5006tu","34,299",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3OTY0NDA3ODQ1ODA4MTI1OjE3NDIwNDA1OTA6c3BfYXRmOjMwMDQ5ODE1Nzk2NTIzMjo6MDo6&url=%2FHP-i3-1215U-Anti-Glare-15-6inch-Graphics%2Fdp%2FB0CJBL2QWY%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1LXIWQ6256UP3%26dib%3DeyJ2IjoiMSJ9.6JUkmQ71bkmS_aR-UpbecgNTPuXiMA430hxIR8fYeqaCRqlLIP1aBE8IAXr2Ffz0Wz0-V1vTaoGbqt2bItF6j9cFxYQqA7Zw-5n3dzJ2mGVcrQ7-T1_dfzcDSI_tpfu0n1r2c6v8PTelDCJ2KGnnKx-yLkm73kzYGLT66jdWLyzviBRkocABaSvLAMsgTCkrEJyqb4ZMVsaGTEJh-ih42zzXm-ZpRTg7B-uT5JEPq9U.ZmqidXvuOCg7dfAabtv-0tdOPEN9opYYY-gBHoBnaic%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1742040590%26sprefix%3Dlaptop%252Caps%252C265%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","23,990",https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_6?crid=1LXIWQ6256UP3&dib=eyJ2IjoiMSJ9.6JUkmQ71bkmS_aR-UpbecgNTPuXiMA430hxIR8fYeqaCRqlLIP1aBE8IAXr2Ffz0Wz0-V1vTaoGbqt2bItF6j9cFxYQqA7Zw-5n3dzJ2mGVcrQ7-T1_dfzcDSI_tpfu0n1r2c6v8PTelDCJ2KGnnKx-yLkm73kzYGLT66jdWLyzviBRkocABaSvLAMsgTCkrEJyqb4ZMVsaGTEJh-ih42zzXm-ZpRTg7B-uT5JEPq9U.ZmqidXvuOCg7dfAabtv-0tdOPEN9opYYY-gBHoBnaic&dib_tag=se&keywords=laptop&qid=1742040590&sprefix=laptop%2Caps%2C265&sr=8-6
"Apple 2025 MacBook Air 15″ Laptop with M4 chip: Built for Apple Intelligence, 38.91 cm (15.3″) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, 12MP Camera, Touch ID; Silver","1,64,900",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2Mzc3MDA1MjMzODc2ODM1OjE3NDIwNDA2MjA6c3BfYnRmOjMwMDQ5OTQ1MzM0ODYzMjo6MDo6&url=%2FApple-2025-MacBook-Laptop-chip%2Fdp%2FB0DZDQR47H%2Fref%3Dsr_1_69_sspa%3Fcrid%3D1LXIWQ6256UP3%26dib%3DeyJ2IjoiMSJ9.7mpFiZ4VDOhnJAcM5LmfH_rFCEDskenwkUMQTgjk-dxjUhNOeLWj2wcjhJPQ6OzgmYZX7PpzM9yOF2FKDDQcRFCFidC4ZMiM8xsEOfR6b6MhNdOO6Vkj4RqKCVH9HuTjSgc2pS1wCr3zkspCWE_LxpHt5gzNZaDDTCxRiYO4m0yy6TJ9Mti_FvsONxFM2WcDVz2B_xr4eD9jJOX8sl1Je6zFMbaVH0UBogfXy22wDtY.fjJ7DmFtDMOoPWtr8vM7Ua2h4masbGF_5hKG_W9KxXI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1742040620%26sprefix%3Dlaptop%252Caps%252C265%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Apple 2025 MacBook Air 13″ Laptop with M4 chip: Built for Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, 12MP Camera, Touch ID; Starlight","1,39,900",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2Mzc3MDA1MjMzODc2ODM1OjE3NDIwNDA2MjA6c3BfYnRmOjMwMDQ5OTQ1MzM0ODAzMjo6MDo6&url=%2FApple-2025-MacBook-Laptop-chip%2Fdp%2FB0DZDQ573Z%2Fref%3Dsr_1_70_sspa%3Fcrid%3D1LXIWQ6256UP3%26dib%3DeyJ2IjoiMSJ9.7mpFiZ4VDOhnJAcM5LmfH_rFCEDskenwkUMQTgjk-dxjUhNOeLWj2wcjhJPQ6OzgmYZX7PpzM9yOF2FKDDQcRFCFidC4ZMiM8xsEOfR6b6MhNdOO6Vkj4RqKCVH9HuTjSgc2pS1wCr3zkspCWE_LxpHt5gzNZaDDTCxRiYO4m0yy6TJ9Mti_FvsONxFM2WcDVz2B_xr4eD9jJOX8sl1Je6zFMbaVH0UBogfXy22wDtY.fjJ7DmFtDMOoPWtr8vM7Ua2h4masbGF_5hKG_W9KxXI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1742040620%26sprefix%3Dlaptop%252Caps%252C265%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Lenovo LOQ 2024, AMD Ryzen 5 7235HS, NVIDIA RTX 3050-6GB, 12GB RAM, 512GB SSD, FHD IPS 144Hz 300Nits, 15.6""/39.6cm, Windows 11, MS Office 21, Grey, 2.4Kg, 83JC0031IN, 3 Mon. Game Pass Gaming Laptop","62,490",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDA5NTEwNzE4Njk0OTA6MTc0MjA0MDYyOTpzcF9hdGZfbmV4dDozMDA0NTk4MDc4NjQxMzI6OjA6Og&url=%2FLenovo-7235HS-300Nits-Graphics-83JC0031IN%2Fdp%2FB0D7VMYDJY%2Fref%3Dsr_1_65_sspa%3Fcrid%3D1LXIWQ6256UP3%26dib%3DeyJ2IjoiMSJ9.fM8tACGtqQ715hGooXgEL5M_Pdp3UBIZhyDjGQSJmF6IFJ5phgo7FwBaMlSaQLgfchN7CfvBA6gEfOUGJK9ncTZi8Reb35s_yrR6NdBBPvDvaxcWjDS8FDd4D6AvF57rhxOEnHsIkUbmwQpf0isCXuQUUx6aADZ8VN6p68VXbSOXzaGHhzCQvyFuY-A_xjIIryB-kCrE-zjQzxD61ORyi36QDBq89W7JWPy1bJodxG0.Im3Z0Ip1CSgBy58YSrtCCyoejDhKAugNzktuuDEcopA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1742040629%26sprefix%3Dlaptop%252Caps%252C265%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Chuwi HeroBook Plus 15.6"" FHD Laptop, Intel Celeron N4020 Dual Core Processor Upto 2.80GHz, 8GB RAM, 256GB SSD, Intel UHD Graphics, Windows 11,WiFi 6,Webcam,BT 5.2,HDMI Port,38Wh, 1.74kg (Iron Gray)","18,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDA5NTEwNzE4Njk0OTA6MTc0MjA0MDYyOTpzcF9hdGZfbmV4dDozMDAyNzgzMzk3Mjg3MzI6OjA6Og&url=%2FChuwi-HeroBook-Plus-Processor-Graphics%2Fdp%2FB0D9QQ7SS1%2Fref%3Dsr_1_66_sspa%3Fcrid%3D1LXIWQ6256UP3%26dib%3DeyJ2IjoiMSJ9.fM8tACGtqQ715hGooXgEL5M_Pdp3UBIZhyDjGQSJmF6IFJ5phgo7FwBaMlSaQLgfchN7CfvBA6gEfOUGJK9ncTZi8Reb35s_yrR6NdBBPvDvaxcWjDS8FDd4D6AvF57rhxOEnHsIkUbmwQpf0isCXuQUUx6aADZ8VN6p68VXbSOXzaGHhzCQvyFuY-A_xjIIryB-kCrE-zjQzxD61ORyi36QDBq89W7JWPy1bJodxG0.Im3Z0Ip1CSgBy58YSrtCCyoejDhKAugNzktuuDEcopA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1742040629%26sprefix%3Dlaptop%252Caps%252C265%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, Alexa Built-in, 3 mon. Game Pass Laptop","48,990",https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Windows-83EQ0072IN/dp/B0DP7BZ8FD/ref=sr_1_67?crid=1LXIWQ6256UP3&dib=eyJ2IjoiMSJ9.fM8tACGtqQ715hGooXgEL5M_Pdp3UBIZhyDjGQSJmF6IFJ5phgo7FwBaMlSaQLgfchN7CfvBA6gEfOUGJK9ncTZi8Reb35s_yrR6NdBBPvDvaxcWjDS8FDd4D6AvF57rhxOEnHsIkUbmwQpf0isCXuQUUx6aADZ8VN6p68VXbSOXzaGHhzCQvyFuY-A_xjIIryB-kCrE-zjQzxD61ORyi36QDBq89W7JWPy1bJodxG0.Im3Z0Ip1CSgBy58YSrtCCyoejDhKAugNzktuuDEcopA&dib_tag=se&keywords=laptop&qid=1742040629&sprefix=laptop%2Caps%2C265&sr=8-67
"Lenovo Legion Pro 7 Intel Core i9-14900HX 16"" (40.6cm) WQXGA IPS 500Nits 240Hz Gaming Laptop (32GB/1TB SSD/Win 11/Office 21/NVIDIA RTX 4080 12GB/100% DCI-P3/3mon Xbox Game Pass/Black/2.6Kg),83DE001HIN","2,70,190",https://www.amazon.in/Lenovo-Legion-i9-14900HX-500Nits-83DE001HIN/dp/B0CXPXXHSH/ref=sr_1_68?crid=1LXIWQ6256UP3&dib=eyJ2IjoiMSJ9.fM8tACGtqQ715hGooXgEL5M_Pdp3UBIZhyDjGQSJmF6IFJ5phgo7FwBaMlSaQLgfchN7CfvBA6gEfOUGJK9ncTZi8Reb35s_yrR6NdBBPvDvaxcWjDS8FDd4D6AvF57rhxOEnHsIkUbmwQpf0isCXuQUUx6aADZ8VN6p68VXbSOXzaGHhzCQvyFuY-A_xjIIryB-kCrE-zjQzxD61ORyi36QDBq89W7JWPy1bJodxG0.Im3Z0Ip1CSgBy58YSrtCCyoejDhKAugNzktuuDEcopA&dib_tag=se&keywords=laptop&qid=1742040629&sprefix=laptop%2Caps%2C265&sr=8-68
"HP Spectre x360 AI Laptop, Intel Ultra 7 155H, 12 TOPS, 32GB DDR5, 2TB SSD, (Win 11, Office 21, Black, 2kg), Touchscreen, 2.8K, OLED, 16-inch(40.6cm), Intel Arc graphics, 9MP camera, Backlit, aa0665TU","1,87,990",https://www.amazon.in/HP-Spectre-Enhanced-16-inch-aa0665TU/dp/B0CRKP9ZML/ref=sr_1_69?crid=1LXIWQ6256UP3&dib=eyJ2IjoiMSJ9.fM8tACGtqQ715hGooXgEL5M_Pdp3UBIZhyDjGQSJmF6IFJ5phgo7FwBaMlSaQLgfchN7CfvBA6gEfOUGJK9ncTZi8Reb35s_yrR6NdBBPvDvaxcWjDS8FDd4D6AvF57rhxOEnHsIkUbmwQpf0isCXuQUUx6aADZ8VN6p68VXbSOXzaGHhzCQvyFuY-A_xjIIryB-kCrE-zjQzxD61ORyi36QDBq89W7JWPy1bJodxG0.Im3Z0Ip1CSgBy58YSrtCCyoejDhKAugNzktuuDEcopA&dib_tag=se&keywords=laptop&qid=1742040629&sprefix=laptop%2Caps%2C265&sr=8-69
